mae,accuracy,f1,f1_custom
0.4553510344360749,0.5441176470588235,0.454980285695818,123.96560668945312
0.4524154162600633,0.5661764705882353,0.4697330161247687,121.61988067626953
0.438112295874819,0.5698529411764706,0.5500954265922104,135.152099609375
0.45432243584882565,0.5514705882352942,0.5370535714285715,135.72677612304688
0.45212164897166635,0.5625,0.534239873372185,134.11935424804688
0.43603948791995506,0.5625,0.4956920056712837,127.58992004394531
0.477890718707471,0.5147058823529411,0.4488856142936084,128.9774627685547
0.4409321608706223,0.5735294117647058,0.478720592122654,121.61988067626953
0.44880936100312013,0.5625,0.3819952267303102,104.0065689086914
0.4241171900660595,0.5955882352941176,0.5407380119113403,128.9774627685547
0.4843417610004953,0.5183823529411765,0.5102736431231875,135.9981231689453
0.49548808561336605,0.4963235294117647,0.4905322450542088,135.9088897705078
0.438991213413428,0.5735294117647058,0.5099099099099099,127.87971496582031
0.4621917793096395,0.5404411764705882,0.5317771810232046,135.9981231689453
0.4626981830696516,0.5330882352941176,0.4968465515985725,133.28811645507812
0.4707429276652219,0.5257352941176471,0.503951367781155,135.152099609375
0.484497836746603,0.5,0.47442600591043416,134.88702392578125
0.48546983641191715,0.5110294117647058,0.48857001484413665,135.152099609375
0.486247018308908,0.5036764705882353,0.4716166630692856,134.11935424804688
0.45615125406499724,0.5588235294117647,0.5123117379870906,131.3181915283203
0.4414487658390338,0.5735294117647058,0.5586145151362543,135.62710571289062
0.48209730497317754,0.5147058823529411,0.5070028011204482,135.99253845214844
0.48071008169037804,0.5147058823529411,0.4862637362637363,134.474365234375
0.4364124102799435,0.5625,0.5073588725020167,129.73849487304688
0.47002940974640306,0.5183823529411765,0.5135895160739881,135.84962463378906
0.469954621830196,0.5367647058823529,0.4826086956521739,130.44830322265625
0.44516050214484115,0.5477941176470589,0.5083976195724047,132.64071655273438
0.548410056587142,0.44485294117647056,0.44424448263264005,134.65846252441406
0.48445016864489054,0.5220588235294118,0.5161731705982158,135.93301391601562
0.4590814253064955,0.5477941176470589,0.5083976195724047,132.64071655273438
0.4593065018770238,0.5367647058823529,0.5218750000000001,135.72677612304688
0.4619086157041265,0.5404411764705882,0.4486158636459465,123.59385681152344
0.45859806656452756,0.5477941176470589,0.5147295592010792,133.58351135253906
0.4568214955402682,0.5441176470588235,0.4960554625866602,131.3181915283203
0.4818954100573569,0.5183823529411765,0.5111873242334866,135.98321533203125
0.47385833862190824,0.5294117647058824,0.5219421101774042,135.99253845214844
0.5292441143591917,0.45955882352941174,0.45045973693975994,135.9981231689453
0.4259720987322453,0.5698529411764706,0.48012741975006135,122.82767486572266
0.4885520391307891,0.5,0.45765892563922117,132.80975341796875
0.46566264290238063,0.5357277526395173,0.49532439424466235,131.4690700433193
0.548410056587142,0.5955882352941176,0.5586145151362543,135.9981231689453
0.02541964765438626,0.03152423288611391,0.03449271221523226,6.322036027821319
