mae,accuracy,f1,mse
0.4638567383472736,0.5502958579881657,0.35496183206106874,0.3515139552002696
0.4910442769891147,0.5177514792899408,0.49549005063963447,0.34344401411227626
0.4836553979476297,0.5355029585798816,0.5140609690209976,0.35174574065645015
0.48218132549199033,0.5295857988165681,0.5203106172178337,0.37827260000906004
0.4834381977865654,0.5207100591715976,0.5145744680851063,0.3976288118663428
0.4492928616415996,0.5562130177514792,0.41060218553824696,0.3719187228437619
0.4560813295807188,0.5532544378698225,0.4418599564756187,0.39769902274643354
0.4657146595560528,0.5384615384615384,0.4461344537815126,0.39181368994331595
0.4715359713770699,0.5473372781065089,0.5085108202891113,0.39420906473082873
0.4684361725536795,0.5414201183431953,0.4924384076575049,0.3956728369460929
0.4734583139066865,0.5502958579881657,0.35496183206106874,0.3129003346404334
0.445178866038287,0.5591715976331361,0.42558311947533506,0.4109386308576933
0.450581617351533,0.5414201183431953,0.4344470232633454,0.39970412447348935
0.4452722084589824,0.5562130177514792,0.47916666666666663,0.3915426392628805
0.44290454677794955,0.5710059171597633,0.5030369401433801,0.38629776740121274
0.47875443912116733,0.5502958579881657,0.35496183206106874,0.28297210936394757
0.46144232613078634,0.5384615384615384,0.36676754575587256,0.41580962732815424
0.4543551633028746,0.5473372781065089,0.42280261175288797,0.4079134669224924
0.45318434569615623,0.5502958579881657,0.43248497702368327,0.41301533474191693
0.45976229659397266,0.5236686390532544,0.4300288033516627,0.4075739058401958
0.467469991135174,0.5502958579881657,0.35496183206106874,0.3071191340104256
0.43935064478218866,0.5562130177514792,0.41060218553824696,0.4111301462582069
0.4475877081331846,0.5591715976331361,0.46306306306306305,0.4040592904698607
0.457631076126762,0.5355029585798816,0.4722689075630252,0.41849574810961204
0.4602519807786082,0.5414201183431953,0.4837152007883715,0.42382404061011525
0.46209689822424027,0.5448520710059173,0.4435118520534152,0.38268859037381864
0.4910442769891147,0.5710059171597633,0.5203106172178337,0.42382404061011525
0.014302271830201685,0.012915367504849602,0.05532149948600629,0.03744650428541791
