stock,mae,accuracy,f1,mse
NYA,0.4824582381917306,0.5236686390532544,0.4775780152082271,0.4217045823442264
S&P,0.4750368784369268,0.5266272189349112,0.4752722323087353,0.41479757908013887
NASDAQ,0.46874508938080567,0.5295857988165681,0.464302225973878,0.40865097624826663
RUT,0.47913369735116246,0.5266272189349112,0.47889523827890756,0.41903796382961894
DJI,0.46411803867686047,0.5374753451676528,0.49120139855817696,0.4035145697944122
