mae,accuracy,f1,mse
0.4702313473591438,0.5384615384615384,0.35000000000000003,0.36429114942601126
0.48247058415226085,0.5325443786982249,0.5062500000000001,0.33607649983390586
0.47991866174501163,0.5473372781065089,0.5251893678556673,0.34818494292892593
0.4839394753314927,0.5236686390532544,0.5172413793103449,0.3810855179706009
0.4933042978065967,0.5029585798816568,0.49846316905140436,0.4095058893805499
0.4684257929009446,0.5295857988165681,0.3870316509837468,0.38272980479173
0.4757683706082701,0.5325443786982249,0.42888309021687987,0.41277124001380755
0.4788011864415637,0.5177514792899408,0.42940293097198484,0.40140169134531484
0.4697291136319397,0.5355029585798816,0.5008982064087732,0.39242504702227954
0.46773385244761106,0.5384615384615384,0.4997723132969035,0.3947070339208964
0.4760596097926416,0.5384615384615384,0.35000000000000003,0.3201526686261567
0.4530909678748669,0.5443786982248521,0.41279725644149634,0.41665289950608564
0.4551520053100383,0.5443786982248521,0.44672619047619044,0.40166654181037276
0.4554243521813095,0.5414201183431953,0.4740118269530035,0.3997545616466668
0.45353701404365826,0.5562130177514792,0.49461722488038284,0.3944883066051345
0.48080161742910127,0.5384615384615384,0.35000000000000003,0.28545050711973247
0.46530691456854256,0.5355029585798816,0.3854901279601644,0.41318748221845314
0.4639401439984063,0.5207100591715976,0.4144244342730034,0.4094360674510059
0.45993286736111744,0.5384615384615384,0.4395408163265306,0.41209665976217874
0.46183990539474745,0.5443786982248521,0.485896017699115,0.40477075396603485
0.47450465210796106,0.5384615384615384,0.35000000000000003,0.31392103004643407
0.4604971983345858,0.5355029585798816,0.39474194468206447,0.4301854578150208
0.4799637718372398,0.5207100591715976,0.42145302396348416,0.43442616741510165
0.4926378171767025,0.5059171597633136,0.4461897707092609,0.4532800086211593
0.4945160423452879,0.5029585798816568,0.444078947368421,0.4580049097093384
0.47190110248724176,0.532189349112426,0.43812398759315285,0.39082611355811603
0.4945160423452879,0.5562130177514792,0.5251893678556673,0.4580049097093384
0.012437723172007148,0.013779912011604382,0.05655739310900636,0.04227290914128139
