mae,accuracy,f1,mse
0.46537776567886785,0.5463917525773195,0.35333333333333333,0.32206885573279354
0.4559622694229342,0.5463917525773195,0.35333333333333333,0.4132243432167974
0.47121911847330245,0.538659793814433,0.44833392906787395,0.3326877791700758
0.4583872470659079,0.5360824742268041,0.43213972094838515,0.40643898570915443
0.44894643545813245,0.5567010309278351,0.47122210953346855,0.408729500241963
0.49431604438835813,0.5463917525773195,0.35333333333333333,0.2491919648970666
0.455986141236787,0.5463917525773195,0.35333333333333333,0.4455049050638337
0.45637746777423877,0.5463917525773195,0.3634601043997018,0.4481227062952445
0.4671371191984268,0.5231958762886598,0.3706986489922236,0.44766250065892604
0.466470742443778,0.5283505154639175,0.397162578640381,0.44162940085394037
0.4782883755325042,0.5463917525773195,0.35333333333333333,0.2672647165162294
0.45737722600550995,0.5463917525773195,0.3909817351598173,0.40755844408081515
0.4562617660087255,0.5438144329896907,0.4306180823280687,0.4028345914410528
0.4520917464514799,0.5567010309278351,0.5148166458254573,0.3915056609159022
0.4623938439559987,0.5309278350515464,0.5089973578083715,0.4152684573882164
0.48967680888077647,0.5463917525773195,0.35333333333333333,0.2521892517579642
0.49137427185460464,0.49742268041237114,0.4019870533279586,0.29113838042972257
0.4962579405184874,0.5,0.4980795903126001,0.3138198070403066
0.50491970924951,0.48711340206185566,0.48694641017974016,0.3682252446120285
0.5100073175385988,0.48711340206185566,0.4838183483417233,0.3930568291938046
0.48163895631573866,0.5463917525773195,0.35333333333333333,0.2572659752942211
0.469073508126834,0.5335051546391752,0.3528506528810623,0.3693716607983779
0.48106521439076083,0.5180412371134021,0.4018614543745826,0.38869585558171166
0.4885119096539223,0.5180412371134021,0.4560326278461273,0.3782380780934275
0.49271880818312486,0.4948453608247423,0.47241647241647244,0.38470937371845465
0.4740735101522924,0.530721649484536,0.4142302742286941,0.36785613074808127
0.5100073175385988,0.5567010309278351,0.5148166458254573,0.4481227062952445
0.017845959941535462,0.021754063400972624,0.05835472967041087,0.06407008427602609
