MAE,Accuracy,F-score
0.5156520484129866,0.4822485207100592,0.4806072899379188
0.49793514080301543,0.5,0.49724957973578365
0.5003094364552808,0.4911242603550296,0.49024971941638606
0.44969370114732776,0.5502958579881657,0.35496183206106874
0.4857236499293327,0.514792899408284,0.5130880854502652
0.5234182804640205,0.46153846153846156,0.4615196078431373
0.476996396394223,0.5207100591715976,0.47473235869690344
0.47247638478959275,0.5473372781065089,0.5264415812752397
0.4968679575525092,0.5325443786982249,0.5220861970217641
0.48441830321529206,0.5502958579881657,0.43248497702368327
0.5100773764697052,0.47633136094674555,0.44272739974849795
0.4621138336041812,0.5266272189349113,0.45022771633051406
0.4733729726985312,0.5266272189349113,0.5027949396881435
0.4852976685093844,0.5029585798816568,0.400025358184354
0.45438410795836365,0.5414201183431953,0.46323371207852215
0.5144217262964694,0.48520710059171596,0.48491854965843406
0.5040295445883768,0.47337278106508873,0.4658925464294592
0.4857046644424614,0.5088757396449705,0.49177536231884056
0.47100342009006313,0.5325443786982249,0.5017725864835616
0.49005344853620947,0.514792899408284,0.4795117370892019
0.5049832837629198,0.4881656804733728,0.48578463703117447
0.4794283076550155,0.5384615384615384,0.5384615384615384
0.4851260777761245,0.5473372781065089,0.39644970414201186
0.4860044780498154,0.5207100591715976,0.487533692722372
0.4556843867227876,0.5443786982248521,0.4085
0.46771466134549017,0.5266272189349113,0.49702380952380953
0.48244406241103016,0.5207100591715976,0.47058823529411764
0.4860588233526514,0.5207100591715976,0.5081560793331417
0.49832238530266215,0.5059171597633136,0.43865546218487395
0.49171476436437234,0.5621301775147929,0.5565248226950354
0.4823839828647024,0.5177514792899408,0.4724969600643413
0.45300370586934324,0.5562130177514792,0.5445889623455016
0.45032572693373324,0.5502958579881657,0.35496183206106874
0.46677542841790676,0.5502958579881657,0.5090214067278287
0.4842549824059019,0.5266272189349113,0.4954659103631003
0.4856008395480995,0.5088757396449705,0.46957837020230664
0.54002478412876,0.4467455621301775,0.4463530215568967
0.5048748209807999,0.4408284023668639,0.4372373695106374
0.45757229993042,0.5591715976331361,0.5294106653958643

0.4850319965174323,0.5172204521316948,0.4739254773355718
0.54002478412876,0.5621301775147929,0.5565248226950354
0.020939804919150283,0.030857679831593945,0.04683368081548694
