mae,accuracy,f1,mse
0.46192061179077504,0.5489690721649485,0.3544093178036606,0.3228291523085281
0.45437313646999833,0.5489690721649485,0.3544093178036606,0.4153321235795654
0.46852752600902137,0.5463917525773195,0.44172661870503604,0.3412871484549726
0.4579583939750554,0.5438144329896907,0.4489299727979586,0.4108736682924585
0.4559415014539893,0.5438144329896907,0.4517455274103287,0.4208225481161748
0.4929174200161216,0.5489690721649485,0.3544093178036606,0.24777603644666826
0.4522646240045115,0.5489690721649485,0.3544093178036606,0.44179560048239164
0.451972464157134,0.5489690721649485,0.364607020203438,0.44248669090957865
0.4587953132484228,0.5463917525773195,0.4072222222222222,0.44109540341547576
0.46300173973262465,0.5335051546391752,0.3962465289419613,0.4400490875557907
0.47833243365754785,0.5489690721649485,0.3544093178036606,0.2673399651876486
0.4608513802558798,0.5438144329896907,0.38097942186528216,0.41416135869215115
0.4682913994243772,0.5360824742268041,0.4124179707218576,0.4171548037455433
0.47340387620016305,0.5412371134020618,0.4927135973674932,0.41676712506258135
0.49277117148359034,0.5,0.4728851540616247,0.44683925121927337
0.4902441002351722,0.5489690721649485,0.3544093178036606,0.2523686017893556
0.4864512092443471,0.5231958762886598,0.4326543839265249,0.28889249606744216
0.4935652984440634,0.5051546391752577,0.5017656500802568,0.3143845566105332
0.49558094183292684,0.4793814432989691,0.4793676099375581,0.361563818072538
0.49873765606850806,0.49742268041237114,0.4949771384707807,0.385167894374901
0.47912644264624293,0.5489690721649485,0.3544093178036606,0.25526919555764427
0.46247801499575686,0.538659793814433,0.3500837520938024,0.3642708999409882
0.4785659454484499,0.5154639175257731,0.39348787707453353,0.38432761874753885
0.49026218022834317,0.5077319587628866,0.44439696213160595,0.37817460990740503
0.5087659596516535,0.4896907216494845,0.4681988093589921,0.39866446659584703
0.475004029626987,0.531340206185567,0.41261085767987526,0.37078776484531983
0.5087659596516535,0.5489690721649485,0.5017656500802568,0.44683925121927337
0.01695131543612107,0.02209190393574413,0.05362997324107071,0.06631854588137485
