MAE,Accuracy,F-score
0.430540401572582,0.5828402366863905,0.49189189189189186
0.473131647531891,0.5325443786982249,0.36919442475785497
0.49341128872343776,0.5325443786982249,0.4877019300871033
0.5031109525430837,0.514792899408284,0.49304945858940585
0.4663195448911049,0.5325443786982249,0.37916763543362003
0.5140733084470562,0.4526627218934911,0.44448886401392995
0.49816957645162324,0.5029585798816568,0.5004398775380934
0.47336315991874983,0.514792899408284,0.4107993197278912
0.45923236230410325,0.5502958579881657,0.5012426219322771
0.5012332449650624,0.5325443786982249,0.5321348472105412
0.46243807190468467,0.5325443786982249,0.4422442244224422
0.5104404039844999,0.4822485207100592,0.4766366717100665
0.5099005602664928,0.4881656804733728,0.46165956232335037
0.4775954866581634,0.5207100591715976,0.4823596142938173
0.4429035541438592,0.5650887573964497,0.5035520517970085
0.5210218130760363,0.47928994082840237,0.4726241134751774
0.4748283571662292,0.5236686390532544,0.49310232406501797
0.47262650931125905,0.5236686390532544,0.41623488773747847
0.4967197416572539,0.5177514792899408,0.486805458525453
0.44429656122839667,0.5591715976331361,0.50370041882237
0.48172596157345066,0.5059171597633136,0.47736636945270033
0.4726525946665554,0.5355029585798816,0.5255313251611634
0.47676939277540475,0.5295857988165681,0.42348662826247874
0.524168280116015,0.46745562130177515,0.4545454545454545
0.5091025878521325,0.4940828402366864,0.41091576211588443
0.48934526061284433,0.4970414201183432,0.4508792048929663
0.44263355687935313,0.5798816568047337,0.5237925149819422
0.510429414022251,0.4526627218934911,0.4436585257351306
0.4731978390292821,0.5384615384615384,0.4792193426042983
0.49890083881348546,0.48520710059171596,0.4847560975609756
0.47293489826951957,0.5207100591715976,0.3992100065832785
0.4969480046506464,0.5384615384615384,0.520165987186954
0.4982398168663301,0.45857988165680474,0.45510284984363303
0.489813911536075,0.5059171597633136,0.49853859616392593
0.4486537886419769,0.5650887573964497,0.47959151610369205
0.4918777989423365,0.4970414201183432,0.4216988727858293
0.5044582377700411,0.47337278106508873,0.4585088382474709
0.5027303865410873,0.48520710059171596,0.4736898625429553
0.5064073883041122,0.5088757396449705,0.5080317059483727
0.4850345257591916,0.5148687604308906,0.4676338374121512
0.524168280116015,0.5828402366863905,0.5321348472105412
0.023526499812837616,0.033143929393431484,0.040495982166984884
