,MAE,RMSE
NYA,0.012054069745755574,0.015042417892792662
S&P,0.018320555253006503,0.021386390495018053
NASDAQ,0.03183779224843206,0.03677569436447879
RUT,0.020952585771768596,0.02509908040899894
DJI,0.025525478055268593,0.03003511658274414
