,MAE,RMSE
NYA,0.1138491449512955,0.1257623596295063
S&P,0.1813873541571095,0.19082792304412485
NASDAQ,0.2495574200832543,0.2612060120541575
RUT,0.18120631745675614,0.19396396083386744
DJI,0.1634054173880714,0.18365283538216273
