,MAE,RMSE
NYA,0.09990617729945485,0.11882434823045429
S&P,0.16031393153965987,0.18264317979072103
NASDAQ,0.2580657712280158,0.2891273380163547
RUT,0.14992128562565138,0.16875970170881485
DJI,0.2254262937798325,0.2578243062525863
