,MAE,RMSE
NYA,0.010210860264246278,0.013424969735418159
S&P,0.014768094566055393,0.017628146661272638
NASDAQ,0.02074835848883171,0.0243657244698312
RUT,0.015382300705211337,0.019484623854763593
DJI,0.015595495238797625,0.019150515248412
