,MAE,RMSE
NYA,0.3416927078732648,0.3666798391785815
S&P,0.3090256519629706,0.34794710352399455
NASDAQ,0.24063302912855164,0.30250234922338054
RUT,0.3156900708223318,0.3475435736869768
DJI,0.3043042607809278,0.3529713806601276
