,MAE,RMSE
NYA,0.13411998650379167,0.1486380387867174
S&P,0.1462254178390034,0.15983372423362777
NASDAQ,0.17773004923102098,0.19121759176013325
RUT,0.14028547731228946,0.15722377271884172
DJI,0.1647586780456632,0.18034662677058827
