,MAE,RMSE
NYA,0.024999226182272093,0.029877326127625732
S&P,0.0510637893088125,0.057456941071442835
NASDAQ,0.08704792013390594,0.09631647057256101
RUT,0.06338495735064759,0.07174626747447518
DJI,0.05512257113265092,0.06439220965423678
