stock,MAE,RMSE
NYA,0.5943122150564388,0.687773989409675
S&P,1.3110072197795781,1.3981380267899857
NASDAQ,1.9406781691544361,2.0571482882728254
RUT,1.2815565847554973,1.3653922846647268
DJI,1.765184679461165,1.9191008145869657
