,MAE,RMSE
NYA,0.011814659444353805,0.014934557361248152
S&P,0.024808853072358174,0.02770861038695042
NASDAQ,0.03575725305179476,0.04108135013844881
RUT,0.02409792449651766,0.02890838632322874
DJI,0.024973509490029123,0.029340115281819467
