,MAE,RMSE
NYA,0.024167941627323903,0.026778079772736257
S&P,0.034833112725831915,0.03724423057944623
NASDAQ,0.048847651371650924,0.052977149870004625
RUT,0.034469866377792674,0.038591733865363256
DJI,0.04242571213814751,0.04604435453052289
