stock,MAE,RMSE
NYA,0.07845039451572099,0.08794062008341819
S&P,0.07551034960514619,0.08790911866533464
NASDAQ,0.18818079665151474,0.20826289896564934
RUT,0.12887914149431062,0.15069771173851215
DJI,0.19268106945720936,0.23060806234597478
