,MAE,RMSE
NYA,0.030936889988389758,0.03903738771865408
S&P,0.03474671442733058,0.043800673561453986
NASDAQ,0.08287375814607517,0.09252423252051897
RUT,0.04913821539331159,0.06453962522554066
DJI,0.07407681159356332,0.08680056310499501
