,MAE,RMSE
NYA,0.10954380276819069,0.13185236508027084
S&P,0.07918077024564561,0.09509118218203116
NASDAQ,0.16202030957858288,0.1909495574034872
RUT,0.11640871245555552,0.1330854595380357
DJI,0.14117491940285554,0.1653352931325371
