,MAE,RMSE
NYA,0.02253897319472531,0.02712928475854536
S&P,0.033981289900359354,0.03881232547230114
NASDAQ,0.06287630008057629,0.07243794307872778
RUT,0.03574691009456505,0.04166098775999828
DJI,0.06651006590355449,0.07608411812622815
