,MAE,RMSE
NYA,0.1405834314561731,0.16407534620072414
S&P,0.22654710789414315,0.25349959253042675
NASDAQ,0.3410876291029345,0.37740477110511145
RUT,0.21512356618041764,0.23728747835638309
DJI,0.3097730844600465,0.3457339138498241
