,MAE,RMSE
NYA,0.024449427198774732,0.02952916063056189
S&P,0.02336995933632488,0.02826955296728555
NASDAQ,0.03647601685321393,0.04312967361007673
RUT,0.036253786006561865,0.04759077712909844
DJI,0.034192597739194794,0.04201760842235851
