,MAE,RMSE
NYA,0.025307576527450498,0.03007390962127395
S&P,0.030452931280666343,0.03434173326014777
NASDAQ,0.043722514780696005,0.049053708697645665
RUT,0.03879365230645602,0.04757746384314522
DJI,0.03963984105036136,0.045444542321682956
