,MAE,RMSE
NYA,0.012802357726928235,0.015651365419063666
S&P,0.024923837557271043,0.028677409143452924
NASDAQ,0.05638598639703595,0.06357889539249811
RUT,0.022344468054128784,0.027041276007116206
DJI,0.025710864749503466,0.031116986458414264
