,MAE,RMSE
NYA,0.016889963205465194,0.019857279576453613
S&P,0.026697641173492707,0.029648162126875748
NASDAQ,0.03701906765930661,0.041383076907036
RUT,0.030431625652889593,0.03534425249878555
DJI,0.02592657553509989,0.030301254181537295
