,MAE,RMSE
NYA,0.21724088750207912,0.24056554630625832
S&P,0.3342244922050639,0.35738150009099257
NASDAQ,0.4963005808895005,0.5296966712824266
RUT,0.32059935652209925,0.34138191634696724
DJI,0.4189873889376229,0.45774117095260525
