,MAE,RMSE
NYA,0.08219048678070857,0.09413688316658922
S&P,0.11008035947940226,0.12111771573645279
NASDAQ,0.16797272568172447,0.17892636280254515
RUT,0.1024418865315149,0.11718595713104463
DJI,0.15555886677083658,0.16882154057433224
