stock,MAE,RMSE
NYA,0.10773686030499177,0.1102964706377119
S&P,0.022548074784346766,0.02657502875524548
NASDAQ,0.10126506075214571,0.11396739821630697
RUT,0.05915874947297237,0.07024224383494314
DJI,0.12925514687637574,0.1560881924152523
