stock,MAE,RMSE
NYA,0.05561067666223217,0.06395031753405354
S&P,0.02488517387589537,0.03125925001784389
NASDAQ,0.11938370021939032,0.13752107241197337
RUT,0.10713711570852988,0.12452391430221219
DJI,0.13716112613940248,0.16918646833998535
