,MAE,RMSE
NYA,0.07114387049665763,0.09326618183694234
S&P,0.09919497488418236,0.12007714230906638
NASDAQ,0.16051071262572703,0.17626953612527574
RUT,0.09794948430494148,0.12538087369530548
DJI,0.10581178495517443,0.1341289206800047
