,MAE,RMSE
NYA,0.05812437995189926,0.0776954266969015
S&P,0.0690416518189992,0.08770380996922399
NASDAQ,0.12103021284262187,0.1356673886852572
RUT,0.07746771141600103,0.1013999847531333
DJI,0.09309107081681443,0.1139184560380237
