mae,accuracy,f1,mse
0.43366363030119043,0.5927835051546392,0.372168284789644,0.2960260452864579
0.41217180871471915,0.5927835051546392,0.372168284789644,0.37534816198721854
0.4322700510857646,0.5927835051546392,0.44939823962636966,0.3124080133883856
0.4179219987781085,0.5798969072164949,0.44553448532828355,0.3761986948355264
0.4159653173644364,0.5850515463917526,0.4629596196666065,0.38426903872640006
0.48635843611255136,0.5927835051546392,0.372168284789644,0.2412120205662192
0.4091642491289021,0.5927835051546392,0.372168284789644,0.4007550936890812
0.4090200587339008,0.5927835051546392,0.372168284789644,0.4030957642286581
0.4126047903735469,0.5927835051546392,0.4240727518695277,0.39533980954564796
0.41848244697962106,0.5798969072164949,0.429941501491757,0.3971189359137539
0.4621789990012179,0.5927835051546392,0.372168284789644,0.25092793771879096
0.41856344128699646,0.5902061855670103,0.40368276062055963,0.37569316960411886
0.4355393408476039,0.5670103092783505,0.42268041237113396,0.38840643394067587
0.4692845274272568,0.5309278350515464,0.45838318760546093,0.4118509603980223
0.48968359231759906,0.5025773195876289,0.45995687385964534,0.4397418178991248
0.4797958997414284,0.5927835051546392,0.372168284789644,0.24119751975724862
0.4668451254976164,0.5798969072164949,0.46304644982722465,0.2699832872658737
0.4836128422241543,0.5025773195876289,0.49696029234934136,0.30386074400008656
0.5027145163525741,0.4845360824742268,0.4836580432236772,0.369558227842213
0.5204179435800377,0.46649484536082475,0.4649274165073316,0.40915409723237006
0.4676558776307352,0.5927835051546392,0.372168284789644,0.2435238394493557
0.4280380969195022,0.5824742268041238,0.37374461979913914,0.32789959699723525
0.44572239424841303,0.5644329896907216,0.4251247117820854,0.34759507926611244
0.4603851259897281,0.5489690721649485,0.4780737153618509,0.34734663474206484
0.4737727031466964,0.5489690721649485,0.5227149715667461,0.36510893781245324
0.450073328551372,0.5656701030927835,0.4256882532469558,0.34694479448372384
0.5204179435800377,0.5927835051546392,0.5227149715667461,0.4397418178991248
0.03296250216771608,0.038387644610263824,0.04754383916967399,0.060638868062454845
