mae,accuracy,f1,mse
0.45586358078941974,0.5355029585798816,0.5246813503757513,0.4159082453175628
0.4512777026244035,0.5443786982248521,0.5285144927536233,0.4215721204316889
0.4813799686616984,0.5177514792899408,0.5119025470653378,0.465406487721773
0.4749169478482408,0.5295857988165681,0.5210971404129425,0.4558046203414684
0.45903085085732825,0.5384615384615384,0.5165230148542086,0.44493666722427583
0.45908571572724965,0.5414201183431953,0.427074789759741,0.43300796263456337
0.47883863351567363,0.5207100591715976,0.4313310069790629,0.46051635339813846
0.48735451314521516,0.5207100591715976,0.4567210382188356,0.4676593073193388
0.48374399118419475,0.5177514792899408,0.44414064470564496,0.4712733034856838
0.5068674663468449,0.4881656804733728,0.42875843810751935,0.49257400146544084
0.4507742133380062,0.5591715976331361,0.5422427035330262,0.40506488576427313
0.4424154789483657,0.5650887573964497,0.5514206007421251,0.4056104058485468
0.464158516185804,0.5384615384615384,0.5342872284048754,0.43762959235167975
0.4813102740845001,0.514792899408284,0.510404522169228,0.45899380016535307
0.46562616459954514,0.5295857988165681,0.528888888888889,0.44996802927344814
0.4524096996425758,0.5621301775147929,0.5458474053092204,0.3851782972061287
0.43299241917401415,0.5739644970414202,0.5214159292035399,0.4088007519108799
0.41402123451363804,0.5828402366863905,0.5260504201680672,0.3983143659753806
0.4106786802507469,0.591715976331361,0.532831216698049,0.39609237464898683
0.4114092253294148,0.5887573964497042,0.5410255658782959,0.4000631915274806
0.48388886775222467,0.514792899408284,0.510940146809712,0.43527447746371856
0.4714083272900011,0.5384615384615384,0.5281357388316151,0.4431108795324413
0.4749941167892421,0.5295857988165681,0.5218470572534366,0.4426475565949024
0.47697192625791207,0.5177514792899408,0.5119025470653378,0.4561241275371226
0.48189648830783705,0.5236686390532544,0.521452754693752,0.4591893556045112
0.46213260012656393,0.5394082840236687,0.5087774875552736,0.43642884642979146
0.5068674663468449,0.591715976331361,0.5514206007421251,0.49257400146544084
0.024840882461600267,0.02609762626035547,0.03818584496758528,0.028338084913641478
