MAE,Accuracy,F-score
0.4881670501634059,0.5211267605633803,0.4752173913043478
0.47547230540945284,0.5211267605633803,0.5045155993431856
0.4780636406167489,0.528169014084507,0.5228446762626009
0.46252119591013646,0.5422535211267606,0.5250836120401338
0.4810093143384274,0.5211267605633803,0.5017543859649123
0.5265405781667412,0.4647887323943662,0.4643637085566805
0.48128025262143426,0.5211267605633803,0.5164262820512819
0.5290610245412583,0.4647887323943662,0.44313725490196076
0.4559075781996821,0.5563380281690141,0.35746606334841635
0.4619863454869572,0.5140845070422535,0.5121246825673456
0.5076145576274196,0.49295774647887325,0.48467741935483866
0.4921375862650678,0.49295774647887325,0.43351063829787234
0.4854177429511304,0.5070422535211268,0.4731821072715709
0.5466392275335034,0.4295774647887324,0.414209320091673
0.45837918008236184,0.5492957746478874,0.5218855218855218
0.4775249955939575,0.5563380281690141,0.4845289541918756
0.460017607980211,0.5492957746478874,0.4046121593291404
0.4413701739534088,0.5704225352112676,0.5566815087773171
0.4543846794382569,0.5563380281690141,0.49636885661205876
0.514085903302542,0.5,0.47823836878331527
0.4400579680977258,0.5985915492957746,0.5912740493864566
0.5087781200696989,0.5,0.4749778680414518
0.49592440418697586,0.5070422535211268,0.5069444444444444
0.5035611223167097,0.47183098591549294,0.43766830350071284
0.4184903895104686,0.6267605633802817,0.6026189344738371
0.5170359918948109,0.4859154929577465,0.4815703925981496
0.49074502112663637,0.5,0.4888201592049891
0.4864015219046566,0.528169014084507,0.5012319790301442
0.49212186910789196,0.5070422535211268,0.48710010319917446
0.45570064946780764,0.5352112676056338,0.49935897435897436
0.5019675335309035,0.49295774647887325,0.4879807692307693
0.49414265860947815,0.5,0.4840063462817953
0.4445684678117994,0.5563380281690141,0.35746606334841635
0.5098180482360783,0.5070422535211268,0.4770622895622896
0.4875022887553967,0.5140845070422535,0.5086012337629771
0.4591168983586126,0.5492957746478874,0.4964539007092199
0.48046287096722023,0.5563380281690141,0.35746606334841635
0.4603415824158091,0.5985915492957746,0.558067158067158
0.48858671600628695,0.5140845070422535,0.4958579881656805
0.48238218109120684,0.5232936078006502,0.48372706491413087
0.5466392275335034,0.6267605633802817,0.6026189344738371
0.02728021326843181,0.03914811092220018,0.05429857170628786
