mae,accuracy,f1,mse
0.46999551523366623,0.5443786982248521,0.3524904214559387,0.35469334160806487
0.489325942201595,0.5207100591715976,0.49923178226514486,0.33727459110239555
0.4876740756747726,0.5177514792899408,0.4967803220591325,0.3510154064537198
0.4899083904378852,0.5207100591715976,0.5099871134020619,0.3857253081103544
0.4968274955912281,0.4911242603550296,0.4852852640152991,0.4150822829852023
0.46205316286688375,0.5532544378698225,0.40897458166869316,0.38522497182736476
0.4675466334550592,0.5384615384615384,0.43259297520661155,0.40963534710738764
0.47091816570444484,0.5384615384615384,0.44930442411329735,0.39697243396952997
0.47470085927134364,0.5384615384615384,0.4979624481090757,0.3970843451996746
0.4740578231570058,0.5355029585798816,0.4879529116611184,0.40113300355748843
0.4743445676106673,0.5443786982248521,0.3524904214559387,0.3114808091175679
0.4470161680110538,0.5562130177514792,0.41956312680313224,0.4111268348047752
0.46132411580494453,0.5355029585798816,0.43073836878747895,0.40798688965303553
0.4508553349746718,0.5443786982248521,0.47352024922118385,0.39600634808598
0.4441439801755777,0.5710059171597633,0.5079465477947451,0.38683323138433723
0.4817340978856623,0.5443786982248521,0.3524904214559387,0.28538389550658333
0.46525030424157104,0.5414201183431953,0.3786396252149676,0.4190592941717806
0.4635706196206132,0.5355029585798816,0.4118090424411709,0.4181588520564276
0.4597401506204286,0.5384615384615384,0.42146148782093484,0.4206699155084914
0.4661751043920675,0.5266272189349113,0.43518402473158707,0.4148276362082463
0.46745713910407566,0.5443786982248521,0.3524904214559387,0.30769472606012305
0.4368567922145454,0.5621301775147929,0.4229420450350683,0.4092522410909541
0.45025493310305315,0.5532544378698225,0.45913122728187955,0.4074231573520438
0.4616152162145471,0.5355029585798816,0.474692879557311,0.42565247356437363
0.4637460747470071,0.5325443786982249,0.47254266750948165,0.42980035478508943
0.4670837064925748,0.5385798816568046,0.43944819202092517,0.3874079076508396
0.4968274955912281,0.5710059171597633,0.5099871134020619,0.42980035478508943
0.014833856936397329,0.015897607195596318,0.0521051308441284,0.03983328271557143
