MAE,Accuracy,F-score
0.4702699736598328,0.5355029585798816,0.46460172526862736
0.5048479681098599,0.5088757396449705,0.4781622023809524
0.46932516397848745,0.5207100591715976,0.5124479111016135
0.48749553291293,0.5,0.4820040807073226
0.4985445191168926,0.5295857988165681,0.522560699341702
0.48074068312985085,0.5059171597633136,0.44374476472037444
0.45477635927013393,0.5443786982248521,0.38516418615639025
0.4654599314443197,0.5384615384615384,0.5032408803135363
0.44679428370030233,0.5532544378698225,0.48506280583160977
0.49539753966147015,0.5029585798816568,0.49357876712328774
0.4729870822137365,0.5325443786982249,0.4513888888888889
0.4950994005999886,0.5059171597633136,0.4758132667180521
0.45008637994745576,0.5473372781065089,0.4756182885650838
0.48738537679493876,0.514792899408284,0.5000721500721501
0.46378291903074675,0.5473372781065089,0.42679479932165065
0.4910563870554686,0.5177514792899408,0.49923195084485406
0.48250567535513944,0.5236686390532544,0.480917632470072
0.4948513479191244,0.4881656804733728,0.47424450858216666
0.5094551446743539,0.4911242603550296,0.4852852640152991
0.5121967617169133,0.47928994082840237,0.45
0.4755804057476888,0.5295857988165681,0.5158160277489977
0.47400023761779186,0.5295857988165681,0.511520737327189
0.46469742617622906,0.5325443786982249,0.4896406727828746
0.4663721742177349,0.5207100591715976,0.49375
0.5057540202836978,0.47928994082840237,0.4791258055477725
0.5044399908132101,0.47633136094674555,0.41555054072272213
0.4471561431095561,0.5532544378698225,0.5215561284274666
0.5390425848091103,0.46153846153846156,0.45833333333333337
0.46960765034278806,0.5355029585798816,0.4919142498779238
0.518253618432562,0.4970414201183432,0.488371264736261
0.4830384451058914,0.5266272189349113,0.5151515151515151
0.49541782063139966,0.5355029585798816,0.5271210757536603
0.5012591955577128,0.4911242603550296,0.48708356860530777
0.5159731182598605,0.47633136094674555,0.4587009038842594
0.4809949266077288,0.5384615384615384,0.43259297520661155
0.502539759048795,0.5088757396449705,0.49696969696969695
0.4616209485673543,0.5414201183431953,0.4603586621756641
0.47651059376040156,0.5207100591715976,0.4965798764342454
0.515237718124472,0.47337278106508873,0.468609786256845
0.485398851474511,0.5157790927021696,0.47945337418887124
0.5390425848091103,0.5532544378698225,0.5271210757536603
0.02175574075808298,0.024821403470353828,0.030772178365067748
