MAE,Accuracy,F-score
0.4479741002433002,0.5547945205479452,0.49828178694158076
0.4314407338324475,0.5821917808219178,0.38268524294725165
0.5272179720157834,0.4520547945205479,0.43113189168127797
0.42938638976830923,0.6301369863013698,0.5809948979591836
0.5157428533859449,0.5068493150684932,0.5022727272727272
0.4558835590420903,0.541095890410959,0.48804103208248284
0.4480074443774655,0.589041095890411,0.5683027794204614
0.41955136255144254,0.6027397260273972,0.508246225319396
0.48865821677713006,0.5342465753424658,0.5075396825396825
0.4721972874011119,0.541095890410959,0.4828443034628601
0.43239471404319363,0.5616438356164384,0.4490566037735849
0.4616172507099093,0.589041095890411,0.5293359123146357
0.4712980543709781,0.5273972602739726,0.44240881164554163
0.4551331039569149,0.5547945205479452,0.45293134259526147
0.427538526614439,0.6027397260273972,0.49269110951353945
0.4521928382718502,0.5342465753424658,0.5270579268292683
0.38367821868151836,0.6164383561643836,0.3813559322033898
0.5045917687681664,0.4863013698630137,0.4774516821760916
0.4656391526151398,0.5273972602739726,0.5106620682955263
0.47376698008275986,0.5273972602739726,0.49858145438255935
0.38359248311552285,0.6164383561643836,0.3813559322033898
0.3914401967346362,0.6301369863013698,0.5487637362637362
0.5025209017467828,0.5,0.4988479804391781
0.5323098701748228,0.4589041095890411,0.43335789732252517
0.4566788280714456,0.541095890410959,0.45857087507610556
0.41094592254455775,0.6164383561643836,0.3813559322033898
0.4945355239515639,0.5205479452054794,0.48570853462157815
0.4787434174755767,0.5273972602739726,0.4949616483681758
0.4513616777848044,0.5616438356164384,0.5220949263502455
0.5591527527114323,0.4520547945205479,0.43410852713178294
0.4760591076888911,0.4931506849315068,0.48345764008414616
0.38422775880931176,0.6164383561643836,0.3813559322033898
0.566315440464229,0.410958904109589,0.4069525788777631
0.4764202657627733,0.547945205479452,0.44848901098901095
0.5303095913985911,0.4452054794520548,0.44077174067243585
0.4566277645222128,0.5547945205479452,0.508060753719351
0.48197482899309785,0.5342465753424658,0.5107431500098562
0.4265735028949502,0.6301369863013698,0.482405462184874
0.5191678322359733,0.4931506849315068,0.47080721003134796
0.4652017485792582,0.5439058658236738,0.47394981748996373
0.566315440464229,0.6301369863013698,0.5809948979591836
0.045989251000782334,0.05667113494905787,0.05144493578396032
