MAE,Accuracy,F-score
0.4619400877336832,0.5384615384615384,0.4837875939849624
0.48743124816180905,0.5029585798816568,0.4899396378269618
0.5309074850259251,0.46745562130177515,0.46134504373694085
0.5013102333764625,0.5118343195266272,0.4918682520158535
0.4840679482157532,0.5088757396449705,0.4797299803419754
0.46768043958090105,0.5384615384615384,0.4901960784313725
0.5038667899479307,0.514792899408284,0.4917293233082707
0.46632985849575465,0.5295857988165681,0.45778136508096656
0.51105670195148,0.5029585798816568,0.5
0.49905986508121025,0.4881656804733728,0.451849074291071
0.4991523201866079,0.5118343195266272,0.47887758248535306
0.4931184914866848,0.5029585798816568,0.49090909090909096
0.4942027478710493,0.5029585798816568,0.4197424892703862
0.505871389711516,0.4970414201183432,0.488371264736261
0.4843067482565723,0.5502958579881657,0.5191674153938305
0.4984286463207747,0.5,0.4998905611150509
0.5175873855747212,0.4911242603550296,0.48389616845992683
0.48881319593477857,0.5325443786982249,0.5312148876404494
0.49438011829902845,0.5088757396449705,0.486867134913667
0.47659998673134396,0.5295857988165681,0.49939918960458296
0.49704707210478244,0.4940828402366864,0.47587395148492406
0.4809491951974779,0.5266272189349113,0.43835161183117316
0.5085783524359286,0.4940828402366864,0.4720824237552862
0.49748676759604166,0.4970414201183432,0.4944927332230707
0.49758460005254834,0.5,0.4842862688804023
0.4734403440500086,0.5502958579881657,0.5289198606271777
0.49774972175953347,0.5088757396449705,0.4781622023809523
0.47775300161035505,0.5325443786982249,0.5173348758179386
0.49523555410019476,0.5118343195266272,0.49426433915211976
0.513237979244124,0.4881656804733728,0.4876230032508785
0.48609879998049005,0.5236686390532544,0.502954796635094
0.4907491458122944,0.5118343195266272,0.4918682520158535
0.5071634500944144,0.5,0.4901414736466283
0.5326898335693604,0.4408284023668639,0.43905587313295225
0.49988688718108737,0.4881656804733728,0.4853501615046779
0.47397732952346283,0.5177514792899408,0.46838423312587446
0.47186361839333496,0.5355029585798816,0.4858892258208275
0.46048778381365735,0.5502958579881657,0.49916162994735813
0.4924940811691659,0.5207100591715976,0.45158447177597055
0.4928355180931347,0.5108481262327417,0.4841626543988751
0.5326898335693604,0.5502958579881657,0.5312148876404494
0.016902367715772925,0.022535280560921918,0.023272556870835872
